emotion,filename
Disgusted,0.wav
Fearful,1.wav
Neutral,2.wav
Happy,3.wav
Angry,4.wav
Sad,5.wav
Disgusted,6.wav
Happy,7.wav
Angry,8.wav
Neutral,9.wav
Disgusted,10.wav
Angry,11.wav
Happy,12.wav
Neutral,13.wav
Disgusted,14.wav
Happy,15.wav
Sad,16.wav
Fearful,17.wav
Happy,18.wav
Angry,19.wav
Disgusted,20.wav
Sad,21.wav
Fearful,22.wav
Angry,23.wav
Sad,24.wav
Fearful,25.wav
Happy,26.wav
Fearful,27.wav
Angry,28.wav
Fearful,29.wav
Happy,30.wav
Angry,31.wav
Sad,32.wav
Angry,33.wav
Sad,34.wav
Happy,35.wav
Sad,36.wav
Disgusted,37.wav
Happy,38.wav
Fearful,39.wav
Fearful,40.wav
Neutral,41.wav
Sad,42.wav
Disgusted,43.wav
Fearful,44.wav
Happy,45.wav
Angry,46.wav
Disgusted,47.wav
Fearful,48.wav
Happy,49.wav
Fearful,50.wav
Fearful,51.wav
Fearful,52.wav
Neutral,53.wav
Neutral,54.wav
Fearful,55.wav
Angry,56.wav
Happy,57.wav
Sad,58.wav
Disgusted,59.wav
Disgusted,60.wav
Sad,61.wav
Disgusted,62.wav
Neutral,63.wav
Suprised,64.wav
Sad,65.wav
Happy,66.wav
Angry,67.wav
Fearful,68.wav
Sad,69.wav
Neutral,70.wav
Suprised,71.wav
Happy,72.wav
Suprised,73.wav
Fearful,74.wav
Sad,75.wav
Fearful,76.wav
Angry,77.wav
Neutral,78.wav
Disgusted,79.wav
Sad,80.wav
Fearful,81.wav
Angry,82.wav
Sad,83.wav
Happy,84.wav
Sad,85.wav
Fearful,86.wav
Angry,87.wav
Neutral,88.wav
Angry,89.wav
Happy,90.wav
Neutral,91.wav
Disgusted,92.wav
Happy,93.wav
Sad,94.wav
Disgusted,95.wav
Disgusted,96.wav
Neutral,97.wav
Disgusted,98.wav
Sad,99.wav
Fearful,100.wav
Disgusted,101.wav
Sad,102.wav
Fearful,103.wav
Disgusted,104.wav
Happy,105.wav
Neutral,106.wav
Neutral,107.wav
Happy,108.wav
Disgusted,109.wav
Happy,110.wav
Happy,111.wav
Disgusted,112.wav
Fearful,113.wav
Sad,114.wav
Happy,115.wav
Angry,116.wav
Happy,117.wav
Neutral,118.wav
Disgusted,119.wav
Disgusted,120.wav
Fearful,121.wav
Angry,122.wav
Disgusted,123.wav
Happy,124.wav
Fearful,125.wav
Angry,126.wav
Sad,127.wav
Happy,128.wav
Angry,129.wav
Happy,130.wav
Angry,131.wav
Fearful,132.wav
Sad,133.wav
Disgusted,134.wav
Angry,135.wav
Neutral,136.wav
Fearful,137.wav
Sad,138.wav
Sad,139.wav
Happy,140.wav
Fearful,141.wav
Happy,142.wav
Suprised,143.wav
Fearful,144.wav
Neutral,145.wav
Happy,146.wav
Neutral,147.wav
Happy,148.wav
Fearful,149.wav
Sad,150.wav
Fearful,151.wav
Angry,152.wav
Fearful,153.wav
Happy,154.wav
Angry,155.wav
Angry,156.wav
Fearful,157.wav
Neutral,158.wav
Suprised,159.wav
Neutral,160.wav
Fearful,161.wav
Angry,162.wav
Angry,163.wav
Disgusted,164.wav
Disgusted,165.wav
Happy,166.wav
Angry,167.wav
Angry,168.wav
Neutral,169.wav
Sad,170.wav
Happy,171.wav
Angry,172.wav
Sad,173.wav
Neutral,174.wav
Neutral,175.wav
Happy,176.wav
Suprised,177.wav
Disgusted,178.wav
Angry,179.wav
Angry,180.wav
Angry,181.wav
Angry,182.wav
Angry,183.wav
Happy,184.wav
Disgusted,185.wav
Neutral,186.wav
Happy,187.wav
Sad,188.wav
Neutral,189.wav
Sad,190.wav
Angry,191.wav
Fearful,192.wav
Sad,193.wav
Disgusted,194.wav
Fearful,195.wav
Happy,196.wav
Angry,197.wav
Fearful,198.wav
Happy,199.wav
Happy,200.wav
Fearful,201.wav
Angry,202.wav
Disgusted,203.wav
Fearful,204.wav
Angry,205.wav
Angry,206.wav
Sad,207.wav
Neutral,208.wav
Neutral,209.wav
Fearful,210.wav
Fearful,211.wav
Happy,212.wav
Angry,213.wav
Disgusted,214.wav
Sad,215.wav
Sad,216.wav
Happy,217.wav
Angry,218.wav
Disgusted,219.wav
Suprised,220.wav
Fearful,221.wav
Neutral,222.wav
Neutral,223.wav
Fearful,224.wav
Happy,225.wav
Disgusted,226.wav
Suprised,227.wav
Fearful,228.wav
Suprised,229.wav
Angry,230.wav
Angry,231.wav
Neutral,232.wav
Angry,233.wav
Sad,234.wav
Neutral,235.wav
Neutral,236.wav
Happy,237.wav
Angry,238.wav
Happy,239.wav
Neutral,240.wav
Sad,241.wav
Neutral,242.wav
Sad,243.wav
Disgusted,244.wav
Happy,245.wav
Sad,246.wav
Angry,247.wav
Neutral,248.wav
Neutral,249.wav
Happy,250.wav
Sad,251.wav
Happy,252.wav
Disgusted,253.wav
Disgusted,254.wav
Fearful,255.wav
Happy,256.wav
Disgusted,257.wav
Sad,258.wav
Neutral,259.wav
Angry,260.wav
Neutral,261.wav
Suprised,262.wav
Sad,263.wav
Fearful,264.wav
Happy,265.wav
Angry,266.wav
Neutral,267.wav
Disgusted,268.wav
Neutral,269.wav
Sad,270.wav
Happy,271.wav
Fearful,272.wav
Sad,273.wav
Fearful,274.wav
Angry,275.wav
Angry,276.wav
Angry,277.wav
Fearful,278.wav
Happy,279.wav
Fearful,280.wav
Fearful,281.wav
Disgusted,282.wav
Happy,283.wav
Happy,284.wav
